surface	file	id	source_text	source_hash	zh_cn	status	legacy_source	legacy_row	note
taiwan	local_data.dat	DST_MAILSYSTEM_MSG_RECEIVE_ALL_NONE	No mail available to receive.	e33d4a62ec75	没有可领取的邮件。	accepted	legacy/translations/overrides.tsv	115	
taiwan	local_data.dat	DST_MAILSYSTEM_MSG_DELETE_RESOLVED_NONE	No resolved mail to delete.	34616b137b69	没有可删除的已处理邮件。	accepted	legacy/translations/overrides.tsv	116	
taiwan	local_data.dat	DST_DOGI_ASK_APPLY_CHANGE	DOGIPROBE_001	fb24194f71f0	时装确认应用变更	accepted	legacy/translations/overrides.tsv	117	
taiwan	local_data.dat	DST_DOGI_CHANGED	DOGIPROBE_002	7cdc068210e5	时装已变更	accepted	legacy/translations/overrides.tsv	118	
taiwan	local_data.dat	DST_DOGI_COLOR	DOGIPROBE_003	e0bd41748c0c	时装颜色	accepted	legacy/translations/overrides.tsv	119	
taiwan	local_data.dat	DST_DOGI_EXPAIN_DYE	DOGIPROBE_004	3351cab8632b	时装说明染色	accepted	legacy/translations/overrides.tsv	120	
taiwan	local_data.dat	DST_DOGI_MUST_REGI_DOGI_SLOT	DOGIPROBE_005	c735fbceaf96	时装必须登记时装栏位	accepted	legacy/translations/overrides.tsv	121	
taiwan	local_data.dat	DST_DOGI_ONLY_REGISTER_DYE_ITEM	DOGIPROBE_006	eff45daa0e01	时装仅登记染色道具	accepted	legacy/translations/overrides.tsv	122	
taiwan	local_data.dat	DST_DOGI_PREVIEW	DOGIPROBE_007	05ff788a7ddf	时装预览	accepted	legacy/translations/overrides.tsv	123	
taiwan	local_data.dat	DST_DOGI_SETUP	DOGIPROBE_008	909f42084e4c	时装设置	accepted	legacy/translations/overrides.tsv	124	
taiwan	local_data.dat	DST_DOGI_YOU_MUST_GET_DOGI_CHANGE_FUNCTION	DOGIPROBE_009	8705d55551da	时装你必须获得时装变更功能	accepted	legacy/translations/overrides.tsv	125	
taiwan	local_data.dat	DST_DOGI_YOU_MUST_GET_DOGI_FUNCTION	DOGIPROBE_010	b00e7b73cefd	时装你必须获得时装功能	accepted	legacy/translations/overrides.tsv	126	
taiwan	local_data.dat	DST_DOGI_YOU_MUST_GET_DOJO_DOGI_CHANGE_FUNCTION	DOGIPROBE_011	8474a02ea8d1	时装你必须获得道场时装变更功能	accepted	legacy/translations/overrides.tsv	127	
taiwan	local_data.dat	DST_DOGI_YOU_MUST_GET_DOJO_DOGI_FUNCTION	DOGIPROBE_012	d419fe079c8c	时装你必须获得道场时装功能	accepted	legacy/translations/overrides.tsv	128	
taiwan	local_data.dat	DST_EXP_INFO	EXP : %d / %d	27273fbc23d2	经验 : %d / %d	accepted	legacy/translations/overrides.tsv	129	
taiwan	local_data.dat	DST_GUN_MANIA	CNTEST_LD_001	1a1202235b4a	枪狂热者	accepted	legacy/translations/overrides.tsv	130	
taiwan	local_data.dat	DST_JOB_DOGI_MERCHANT	DOGIPROBE_013	6dfb91f079a4	职业时装商人	accepted	legacy/translations/overrides.tsv	131	
taiwan	local_data.dat	DST_MECH_MANIA	CNTEST_LD_003	e5db43e2f87e	机械狂热者	accepted	legacy/translations/overrides.tsv	132	
taiwan	local_data.dat	DST_MULTIDIALOG_GUILDFUNCTION_CAN_CHANGE_DOGI	DOGIPROBE_014	ede1368818b5	对话公会功能可以变更时装	accepted	legacy/translations/overrides.tsv	133	
taiwan	local_data.dat	DST_MULTIDIALOG_GUILDFUNCTION_MAKE_DOGI	DOGIPROBE_015	f2ce60ee6898	对话公会功能制作时装	accepted	legacy/translations/overrides.tsv	134	
taiwan	local_data.dat	DST_TELEPORT_TYPE_COMMAND	COMMAND	2e4854d8dd31	命令	accepted	legacy/translations/overrides.tsv	135	
taiwan	local_data.dat	DST_TELEPORT_TYPE_TIMEQUEST	TIMEQUEST	540dc8676286	时光任务	accepted	legacy/translations/overrides.tsv	136	
taiwan	local_data.dat	DST_DWC_CONDITION_RB_STRAIGHTWIN	%d Streak	c073b0fb4ec3	%d连胜	accepted	legacy/translations/overrides.tsv	137	
taiwan	local_data.dat	DST_DOJO_UPGRADE_CURENT_LEVEL_5	CNTEST_LD_007	0339dff360d7	道场升级当前等级	accepted	legacy/translations/overrides.tsv	138	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_DOGI	DOGIPROBE_016	fe5a157941a7	装备栏位类型时装	accepted	legacy/translations/overrides.tsv	139	
taiwan	local_data.dat	DST_DWC_PLAYER_COUNT_TEXT	%d ~ %d players	ce5a68b09087	%d ~ %d名玩家	accepted	legacy/translations/overrides.tsv	140	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_GAIN_BUDOJI_MILEAGE	Earned %d Mudosa	a6d4ea299743	获得%d武道币	accepted	legacy/translations/overrides.tsv	141	
taiwan	local_data.dat	DST_EQUIP_SLOT_TAIL	CNTEST_LD_020	c1aa06f4939f	装备栏位尾巴	accepted	legacy/translations/overrides.tsv	142	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_DROP_MSG	Dragon Ball Lost!!	90dd6f552b46	龙珠丢失!!	accepted	legacy/translations/overrides.tsv	143	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_I_AM_NOT_PLAYER	Not Scramble Participant	1afb3a369de4	非龙珠争夺战参与者	accepted	legacy/translations/overrides.tsv	144	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_3	PK Impossible to Enter	9be04c9e56a4	PK状态无法进入	accepted	legacy/translations/overrides.tsv	145	
taiwan	local_data.dat	DST_DWC_CARD_GRADE_04	Rare	cce370d2f978	稀有	accepted	legacy/translations/overrides.tsv	146	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_1	Fainted	9e3b252e1088	昏迷	accepted	legacy/translations/overrides.tsv	147	
taiwan	local_data.dat	DST_OPTION_OKEFFECT	Apply Only Effect	51c95289c002	仅应用效果	accepted	legacy/translations/overrides.tsv	148	
taiwan	local_data.dat	DST_DWC_CARD_GRADE_02	Uncommon	630e0b25835d	普通	accepted	legacy/translations/overrides.tsv	149	
taiwan	local_data.dat	DST_DWC_CARD_GRADE	Card Grade	e5addc7251f8	卡片等级	accepted	legacy/translations/overrides.tsv	150	
taiwan	local_data.dat	DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_1	Dropped To pick up	db3ac38bd5a1	已掉落，可拾取	accepted	legacy/translations/overrides.tsv	151	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_NECKLACE	Necklace	200b37cbaa9c	项链	accepted	legacy/translations/overrides.tsv	152	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_ACCESSORY2	Accessory 2 - Richness	743ac3dc0393	饰品2 - 富饶	accepted	legacy/translations/overrides.tsv	153	
taiwan	local_data.dat	DST_DROPITEM_ZENNY	%s Zeni	d89500f73efb	%s索尼	accepted	legacy/translations/overrides.tsv	154	
taiwan	local_data.dat	DST_DWC_FIELD_ENTER_COMMAND	Enter DWC	fb3f63aa7915	进入DWC	accepted	legacy/translations/overrides.tsv	155	
taiwan	local_data.dat	DST_OPTION_PERF_PLAYER_FILTER_PARTY	Party Only	58d840480dff	组队专用	accepted	legacy/translations/overrides.tsv	156	
taiwan	local_data.dat	DST_DWC_TARGET	Target	61ad50a9b918	目标	accepted	legacy/translations/overrides.tsv	157	
taiwan	local_data.dat	DST_TAIL	Tail	b0bf12d8d3c3	尾巴	accepted	legacy/translations/overrides.tsv	158	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_RING	Ring	96ddaccf581f	戒指	accepted	legacy/translations/overrides.tsv	159	
taiwan	local_data.dat	DST_DWC_CARD_GRADE_05	Legendary	b7e8916505bf	传说	accepted	legacy/translations/overrides.tsv	160	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_SOUL	Soul	0cae74dd2ee6	灵魂	accepted	legacy/translations/overrides.tsv	161	
taiwan	local_data.dat	DST_DRUM	Drum	32bad1d2cace	鼓	accepted	legacy/translations/overrides.tsv	162	
taiwan	local_data.dat	DST_EQUIP_SLOT_TYPE_HAND	Weapon	ead533685e26	武器	accepted	legacy/translations/overrides.tsv	163	
