原文	填写中文
Disciple's Stone Symbol X	門徒石徽 X
Disciple's Stone Symbol XL	門徒石徽 XL
Lucky Stone Symbol XL	幸運石徽 XL
Season 1 Claw	第 1 季爪
Season 1 Cub	第 1 季幼崽
HuntCompleteCoin 1	狩獵完成幣 1
HuntCompleteCoin 2	狩獵完成幣 2
HuntCompleteCoin 3	狩獵完成幣 3
CC Soldier Uniform	CC 士兵制服
Babidi Pet	巴比特寵物
Zoro Swords	索隆之劍
Berus Assistant	比魯斯助手
Shenron Gray Wings	神龍灰翼
Nappa Normal Block	那巴普通格擋
Majin Transformation Skill	魔人變身技能
Majin Transformation Skill2	魔人變身技能2
Majin Transformation Skill3	魔人變身技能3
Flying Jet Squirrel [30 Days]	噴射松鼠飛行器［30 天］
Flying Jet Squirrel [90 Days]	噴射松鼠飛行器［90 天］
Flying Jet Squirrel No.1 [7 Days]	噴射松鼠飛行器 號1［7 天］
Flying Jet Squirrel No.1 [15 Days]	噴射松鼠飛行器 號1［15 天］
Flying Jet Squirrel No.1 [30 Days]	噴射松鼠飛行器 號1［30 天］
Flying Jet Squirrel No.1 [90 Days]	噴射松鼠飛行器 號1［90 天］
Flying Jet Squirrel No.2 [1 Day]	噴射松鼠飛行器 號2［1 天］
Flying Jet Squirrel No.2 [7 Days]	噴射松鼠飛行器 號2［7 天］
Flying Jet Squirrel No.2 [15 Days]	噴射松鼠飛行器 號2［15 天］
Flying Jet Squirrel No.2 [30 Days]	噴射松鼠飛行器 號2［30 天］
Flying Jet Squirrel No.2 [90 Days]	噴射松鼠飛行器 號2［90 天］
Flying Jet Squirrel No.3 [1 Day]	噴射松鼠飛行器 號3［1 天］
Flying Jet Squirrel No.3 [7 Days]	噴射松鼠飛行器 號3［7 天］
Flying Jet Squirrel No.3 [15 Days]	噴射松鼠飛行器 號3［15 天］
Flying Jet Squirrel No.3 [30 Days]	噴射松鼠飛行器 號3［30 天］
Flying Jet Squirrel No.3 [90 Days]	噴射松鼠飛行器 號3［90 天］
Flying Jet Squirrel No.4 [1 Day]	噴射松鼠飛行器 號4［1 天］
Flying Jet Squirrel No.4 [7 Days]	噴射松鼠飛行器 號4［7 天］
Flying Jet Squirrel No.4 [15 Days]	噴射松鼠飛行器 號4［15 天］
Flying Jet Squirrel No.4 [30 Days]	噴射松鼠飛行器 號4［30 天］
Flying Jet Squirrel No.4 [90 Days]	噴射松鼠飛行器 號4［90 天］
Gauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
UGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
LUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
MUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
RUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
SUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
XUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
YUGauntlets for Karinga Warriors who aren't\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
SVGauntlets for Karinga Warriors who are not\nfamiliar with controlling spiritual power.	給不熟悉控制精神力量的卡林加戰士使用的護手。
Allows the user to become synchronized with\none of Buddhism's Five Divine Powers.	讓使用者與佛教五神通之一同步。
RAllows the user to become synchronized with\none of Buddhism's Five Divine Powers.	讓使用者與佛教五神通之一同步。
LRAllows the user to become synchronized with\none of Buddhism's Five Divine Powers.	讓使用者與佛教五神通之一同步。
RRAllows the user to become synchronized with\none of Buddhism's Five Divine Powers.	讓使用者與佛教五神通之一同步。
XRAllows the user to become synchronized with\none of Buddhism's Five Divine Powers.	讓使用者與佛教五神通之一同步。
OUWarriors of the Korin made clothes for \nthe immortals. It's a suit full of strength.	花梨戰士為仙人製作的服裝，充滿力量。
UFan from divine bird feathers, according to rumors,\nthe manufacturing is god equals.	神鳥羽毛製成的扇，據傳工藝堪比神造。
Arrogant Rabbit Boss clothing made\nthrough the Martial Artist clothing material.	以武術家服裝材料製成的傲慢兔首領裝。
ONamekians from Dragon Clan used to\npractice most often wearing this in battle.	龍族那美克人過去最常在戰鬥中穿此練習。
2KThe angry Namekian Warrior launches a\nseries of attacks towards his enemy.	憤怒的那美克戰士對敵人發動一連串攻擊。
The Spiritualist master pummels his\nenemy with a barrage of energy blasts.	精神師大師以一連串能量爆破痛擊敵人。
Warrior-Top made in handpick\nsilk including evil spirit.	精選含邪氣絲綢製成的戰士上衣。
Martial Artist tops made with human made\nfibre copied from firm skin tissues of namekian.	以仿那美克人堅實皮膚組織的人造纖維製成的武術家上衣。
Featuring Kurosaki Ichigo Female Costume from Bleach.	《BLEACH》黑崎一護女性造型。
Featuring Hatake Kakashi Female Costume from Naruto.	《火影忍者》旗木卡卡西女性造型。
Featuring Kurosaki Ichigo Female Hair from Bleach.	《BLEACH》黑崎一護女性髮型。
Flying Movement. Flying Dash. Flying Acceleration.	舞空移動。舞空衝刺。舞空加速。
Shortest Pathway Observed. Moving to the Shortcut.	已觀測最短路徑。前往捷徑。
Find... Intruder! Emergency... Enter... Combat State!	發現……入侵者！緊急……進入……戰鬥狀態！
Beep... Investigation. Completed. Regression. Base.	嗶……調查。完成。回歸。基地。
Beep Beep-. You. Have. No. Malfunctioning. Areas.	嗶嗶－。你。沒有。故障。部位。
Intact Saibaman-DNA from a Doping Child Saibaman.	來自強化幼年菜花人的完整菜花人 DNA。
[Probability Recipe] Shadowless Soldier (Pants) EX	［機率配方］無影士兵（下裝）EX
[Probability Recipe] Shadowless Soldier (Shoes) EX	［機率配方］無影士兵（鞋子）EX
[Probability Recipe] Shadowless Soldier (Top) EX	［機率配方］無影士兵（上衣）EX
[Probability Recipe] EXotic Dragon Suit (Pants) EX	［機率配方］異域龍套裝（下裝）EX
[Probability Recipe] EXotic Dragon Suit (Shoes) EX	［機率配方］異域龍套裝（鞋子）EX
[Probability Recipe] EXotic Dragon Suit (Top) EX	［機率配方］異域龍套裝（上衣）EX
[Probability Recipe] Wind of War Armor (Pants) EX	［機率配方］戰風鎧甲（下裝）EX
[Probability Recipe] Wind of War Armor (Shoes) EX	［機率配方］戰風鎧甲（鞋子）EX
Magic Comfort Suit Crystal Gem Version (Pants) EX	魔法舒適套裝水晶寶石版（下裝）EX
Magic Comfort Suit Crystal Gem Version (Shoes) EX	魔法舒適套裝水晶寶石版（鞋子）EX
1Magic Comfort Suit Crystal Gem Version (Pants) EX	魔法舒適套裝水晶寶石版（下裝）EX
1Magic Comfort Suit Crystal Gem Version (Shoes) EX	魔法舒適套裝水晶寶石版（鞋子）EX
